,Title,Price,Year,Distance passed,Fuel Type,Engine Volume,Type,Power,Gear Box
247,Mitsubishi Colt BAS DOBAR,2.900 €,2007. | ,103.000 km | ,Benzin | ,"1300 cm3, ","Hečbek, ","75kW (102KS), ","Manuelni 5 brzina, "
248,Mitsubishi Colt 1.5,3.450 €,2007. | ,105.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","77kW (105KS), ","Manuelni 5 brzina, "
249,Mitsubishi Pajero 2.5tdi restaling,6.000 €,2004. | ,156.000 km | ,Dizel | ,"2498 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
250,Mitsubishi Pajero 2.4b Kinez,2.850 €,2005. | ,130.000 km | ,Benzin | ,"2351 cm3, ","Džip/SUV, ","92kW (125KS), ","Manuelni 5 brzina, "
251,Mitsubishi Carisma GDI,1.950 €,2003. | ,205.000 km | ,Benzin | ,"1800 cm3, ","Hečbek, ","92kW (125KS), ","Manuelni 5 brzina, "
252,Mitsubishi L200 2.5d,3.400 €,1999. | ,400.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","55kW (75KS), ","Manuelni 5 brzina, "
253,Mitsubishi Pajero DID,12.000 €,2007. | ,165.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","125kW (170KS), ","Manuelni 5 brzina, "
254,Mitsubishi Pajero ,3.100 €,1988. | ,180.000 km | ,Benzin + Gas (TNG) | ,"2554 cm3, ","Džip/SUV, ","76kW (103KS), ","Manuelni 5 brzina, "
255,Mitsubishi ASX 1.8 DID,9.250 €,2010. | ,146.234 km | ,Dizel | ,"1790 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
256,Mitsubishi Lancer 1.3,Po dogovoru,2000. | ,206.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Limuzina, ","55kW (75KS), ","Manuelni 5 brzina, "
257,Mitsubishi Outlander 2.0 b,3.600 €,2003. | ,234.325 km | ,Benzin + Gas (TNG) | ,"1990 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 5 brzina, "
258,Mitsubishi Colt 1.5 D,2.450 €,2004. | ,181.000 km | ,Dizel | ,"1493 cm3, ","Monovolumen (MiniVan), ","70kW (95KS), ","Manuelni 5 brzina, "
259,Mitsubishi Colt ,2.400 €,2004. | ,283.557 km | ,Benzin | ,"1499 cm3, ","Hečbek, ","80kW (109KS), ","Manuelni 5 brzina, "
260,Mitsubishi Lancer 2.0 DiD,6.900 €,2010. | ,146.000 km | ,Dizel | ,"1968 cm3, ","Hečbek, ","103kW (140KS), ","Manuelni 6 brzina, "
261,Mitsubishi Lancer 2.0 DID,5.800 €,2008. | ,153.000 km | ,Dizel | ,"1968 cm3, ","Limuzina, ","103kW (140KS), ","Manuelni 6 brzina, "
262,Mitsubishi Outlander 2.2 D,9.450 €,2011. | ,204.000 km | ,Dizel | ,"2179 cm3, ","Džip/SUV, ","115kW (156KS), ","Automatski menjač, "
263,Mitsubishi Outlander CH,4.600 €,2007. | ,194.000 km | ,Benzin | ,"1997 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
264,Mitsubishi Grandis 2.0 TDI,3.000 €,2006. | ,197.000 km | ,Dizel | ,"2000 cm3, ","Monovolumen (MiniVan), ","97kW (132KS), ","Manuelni 6 brzina, "
265,"Mitsubishi Lancer 1,6 SPBK",6.850 €,2010. | ,123.230 km | ,Benzin | ,"1590 cm3, ","Hečbek, ","86kW (117KS), ","Manuelni 5 brzina, "
266,Mitsubishi Pajero 2.5 TDI,3.500 €,1991. | ,240.000 km | ,Dizel | ,"2489 cm3, ","Limuzina, ","74kW (101KS), ","Manuelni 5 brzina, "
267,Mitsubishi Space Star 1.0,7.300 €,2017. | ,33.500 km | ,Benzin | ,"999 cm3, ","Hečbek, ","52kW (71KS), ","Manuelni 5 brzina, "
268,"Mitsubishi L200 2,5 DHD",Po dogovoru,2011. | ,280.000 km | ,Dizel | ,"2500 cm3, ","Pickup, ","100kW (136KS), ","Manuelni 5 brzina, "
269,Mitsubishi L200 2.5D GL,3.649 €,2000. | ,251.000 km | ,Dizel | ,"2477 cm3, ","Pickup, ","55kW (75KS), ","Manuelni 5 brzina, "
270,Mitsubishi Pajero DID,3.500 €,2001. | ,230.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","117kW (159KS), ","Automatski menjač, "
271,Mitsubishi Space Star T.O.P STANJE,1.870 €,2002. | ,213.550 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Monovolumen (MiniVan), ","62kW (84KS), ","Manuelni 5 brzina, "
272,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
273,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
274,Mitsubishi Lancer 1.5 INVITE EXCLUSIVE,5.499 €,2008. | ,120.000 km | ,Benzin | ,"1449 cm3, ","Limuzina, ","80kW (109KS), ","Manuelni 5 brzina, "
275,Mitsubishi Lancer glx,Po dogovoru,1996. | ,200.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Limuzina, ","55kW (75KS), ","Manuelni 5 brzina, "
276,Mitsubishi Outlander 2.0,10.000 €,2011. | ,106.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","100kW (136KS), ","Automatski menjač, "
277,Mitsubishi Outlander 2.2 DI-D 4WD Intense,13.500 €,2013. | ,126.000 km | ,Dizel | ,"2268 cm3, ","Džip/SUV, ","110kW (150KS), ","Automatski menjač, "
278,"Mitsubishi Pajero Pinin 2,0 GDI Premium",3.700 €,2002. | ,210.533 km | ,Benzin | ,"1999 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
279,Mitsubishi Colt 1.3,2.000 €,2007. | ,162.200 km | ,Benzin | ,"1332 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
280,Mitsubishi Colt ,2.990 €,2008. | ,107.500 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
281,Mitsubishi Pajero DID,12.000 €,2007. | ,232.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","125kW (170KS), ","Automatski menjač, "
282,Mitsubishi Pajero menjam za traktor,3.500 €,2000. | ,320.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","73kW (99KS), ","Manuelni 5 brzina, "
283,Mitsubishi Outlander CUOW / 4X4,3.900 €,2004. | ,251.000 km | ,Benzin + Gas (TNG) | ,"1977 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
